AskedPrice,FinalPrice,Surface,Number_room,Year,Month,Day
2895000,3000000,24,1,2016,05,13
2995000,3200000,28.5,1.5,2016,05,03
8950000,10000000,97,3,2016,04,28
4995000,5800000,75,2,2016,04,13
4495000,5300000,61.1,2,2016,04,13
3495000,4500000,39,2,2016,04,03
3495000,4200000,34,3,2016,03,08
2200000,2400000,12,1,2016,03,01
7950000,8520000,105,5,2016,02,18
5950000,6200000,64,3.5,2016,02,17
4295000,5025000,51,2,2016,02,10
4675000,5830000,66,2,2016,02,10
2995000,3150000,29,1,2016,02,09
6000000,6950000,71,4,2016,02,08
2950000,3170000,35,1,2016,01,28
2495000,2800000,19,1,2016,01,19
8850000,9300000,117,5,2016,01,11
4200000,4385000,56,2,2015,12,10
7995000,8000000,93,3,2015,11,26
9990000,10900000,118,5,2015,11,25
4500000,4950000,56,2,2015,11,12
1795000,1800000,12,1,2015,11,10
7695000,8575000,91,3,2015,10,13
8500000,8500000,86,3,2015,09,30
5350000,5100000,69,2,2015,09,25
5690000,6110000,61,3,2015,09,24
12900000,12500000,133,4,2015,09,15
5990000,6250000,71,3.5,2015,08,31
2750000,3100000,24,1,2015,08,25
3290000,3525000,27,2,2015,08,18
2325000,2685000,26,1,2015,07,10
2995000,3470000,33,2,2015,06,18
4750000,4900000,50,2,2015,06,12
7990000,8150000,91,3,2015,05,31
5595000,5300000,62,2.5,2015,05,12
2395000,2500000,26,1,2015,05,10
3700000,3700000,26,2,2015,05,05
4100000,4850000,48,2,2015,05,02
5500000,5500000,71,3,2015,04,24
2995000,3000000,32,1,2015,04,23
3475000,3910000,79,3,2015,04,10
3750000,3750000,42,2,2015,03,24
3895000,3895000,44,2,2015,03,19
3795000,4000000,43,2,2015,03,19
6900000,7500000,98,3,2015,03,18
2150000,2900000,23,1.5,2015,03,18
1895000,2160000,21,1,2014,12,18
3195000,3450000,39,2,2014,09,25
5995000,6100000,77,3,2014,09,23
5550000,5550000,71,3,2014,09,23
2500000,2500000,27,1,2014,09,04
2595000,2850000,27,1.5,2014,07,21
2895000,3400000,42,2,2014,05,07
4750000,4925000,69,3,2014,04,30
5500000,5500000,79,2,2014,04,10
2995000,4125000,41,2,2014,04,09
2450000,2450000,17,1.5,2014,04,09
7450000,7350000,107,4,2014,04,01
2195000,2400000,27,1,2014,03,26
2250000,2250000,29,1,2014,03,20
2500000,3050000,38.5,2,2014,03,19
3490000,3960000,39,2,2014,03,15
2675000,3800000,39,2,2014,02,28
6100000,6400000,97,3,2014,02,21
2475000,2800000,40,1,2014,02,05
3975000,4930000,68,3,2013,11,18
7500000,7300000,109,3,2013,09,04
2100000,2000000,30,1,2013,09,03
4395000,4400000,69,2,2013,08,28
6950000,7250000,97,3,2013,08,08
7650000,7700000,119,2.5,2013,04,22
4995000,5020000,77,3,2013,04,03
2975000,3100000,50,2,2013,03,27
5745000,5500000,69,3.5,2013,03,14
