AskedPrice,FinalPrice,Surface,Room number,Sold date
2275000,2300000,54.5,2,2016-06-07,
3595000,4000000,78.3,3,2016-06-03,
2495000,2500000,56.5,2,2016-05-31,
13500000,13500000,195,5,2016-05-31,
2175000,2300000,57.7,2,2016-05-30,
2395000,2450000,61.1,2,2016-05-30,
5950000,6300000,144,5,2016-05-28,
8950000,9800000,160,6,2016-05-28,
3495000,3700000,89,4,2016-05-27,
2495000,2495000,51,2,2016-05-27,
2995000,2995000,75.5,3,2016-05-27,
10950000,13600000,187,5,2016-05-27,
8400000,8400000,NaN, ,2016-05-27,
1875000,2230000,36.1,1.5,2016-05-26,
1950000,2000000,40.3,1,2016-05-26,
2950000,2950000,63,2,2016-05-24,
2850000,3025000,75.5,3,2016-05-24,
5650000,5850000,95,3,2016-05-24,
2995000,3100000,78,4,2016-05-23,
6350000,6500000,95,3,2016-05-22,
3750000,3550000,77,4,2016-05-20,
13900000,14500000,183,6,2016-05-20,
2350000,2475000,69.5,3,2016-05-20,
8450000,9100000,148,6,2016-05-19,
4795000,4900000,75,4,2016-05-19,
3195000,3350000,52.9,2,2016-05-19,
3690000,4100000,61.3,2,2016-05-18,
8950000,9380000,159,6,2016-05-18,
3475000,3650000,91.3,4,2016-05-18,
2150000,2200000,33,1.5,2016-05-18,
2995000,3200000,72,3,2016-05-17,
3495000,3500000,69.5,3,2016-05-17,
2800000,2860000,54.5,2,2016-05-15,
3975000,4550000,98,4,2016-05-14,
7500000,7500000,137,6,2016-05-13,
9750000,9750000,176,7,2016-05-13,
5975000,6800000,112.5,4,2016-05-13,
2150000,2530000,30,1,2016-05-11,
3250000,3650000,79,3,2016-05-11,
8750000,9500000,121,5,2016-05-11,
2750000,2950000,69.5,3,2016-05-10,
2200000,2400000,64.5,2,2016-05-09,
2250000,2100000,NaN,NaN,2016-05-09,
9450000,9500000,180,7,2016-05-06,
3250000,3900000,78,3,2016-05-06,
7950000,8500000,109,3,2016-05-05,
3100000,3325000,74,3,2016-05-04,
9500000,9400000,160,5,2016-05-04,
2995000,3200000,78,4,2016-05-04,
2490000,2650000,62,2,2016-05-03,
2495000,2720000,68,2,2016-05-03,
2995000,3250000,74,3.5,2016-05-03,
2495000,2610000,69.5,3,2016-05-03,
3195000,3580000,55,2,2016-05-03,
2575000,2575000,41,1,2016-05-02,
6600000,7470000,87,3,2016-04-29,
7500000,8350000,127,6,2016-04-27,
6250000,7200000,107,5,2016-04-27,
7950000,9600000,145,7,2016-04-27,
5450000,5550000,131,5,2016-04-23,
2850000,3000000,72,3,2016-04-22,
7300000,7500000,103,5,2016-04-22,
3500000,3500000,64.4,3,2016-04-22,
2250000,2550000,37,1,2016-04-20,
3250000,3590000,78.4,4,2016-04-20,
1290000,1730000,19,1,2016-04-19,
2475000,2700000,56,2,2016-04-19,
6250000,7800000,112.5,4,2016-04-19,
7300000,7300000,107,4,2016-04-15,
6950000,7700000,133,6,2016-04-14,
2950000,3600000,69.5,3,2016-04-13,
3995000,3995000,62,2,2016-04-13,
3560000,3560000,58.1,2,2016-04-13,
4050000,4300000,64,2,2016-04-12,
1695000,2100000,36.1,1,2016-04-12,
2450000,2800000,67,3,2016-04-11,
9250000,10150000,138,5,2016-04-11,
3695000,3900000,75.5,3,2016-04-09,
2995000,3000000,72,3,2016-04-08,
3195000,3700000,78,3,2016-04-08,
2350000,2500000,64.6,2,2016-04-08,
2395000,2550000,58,2,2016-04-07,
2000000,2120000,32,2,2016-04-07,
4750000,5350000,73.6,3,2016-04-07,
6950000,7500000,99,5,2016-04-07,
6495000,6495000,86,3,2016-04-06,
2950000,3400000,56.5,2,2016-04-06,
1950000,2530000,36.6,1,2016-04-05,
1995000,2150000,33,1.5,2016-04-05,
2495000,2800000,62,2,2016-04-04,
2000000,2200000,51,2,2016-04-02,
1895000,2300000,29,1,2016-04-01,
2950000,3425000,54,2,2016-03-31,
2150000,2700000,40,2,2016-03-30,
2350000,2550000,58.5,2,2016-03-29,
3500000,3300000,77,3,2016-03-29,
3195000,3375000,77,3,2016-03-27,
3500000,4000000,69,3,2016-03-24,
2695000,3030000,61,2,2016-03-24,
4250000,4500000,98,4,2016-03-24,
2795000,3505000,74,3,2016-03-24,
3050000,3400000,56,2,2016-03-23,
2895000,2900000,77,3,2016-03-23,
3995000,3995000,64,2,2016-03-23,
2890000,3050000,62.5,2,2016-03-22,
2995000,4150000,71,3,2016-03-22,
1995000,2400000,24.6,1,2016-03-22,
1895000,1900000,28,1,2016-03-21,
7500000,7960000,134,6,2016-03-21,
5995000,7900000,112.5,4,2016-03-20,
2950000,3200000,53,2,2016-03-18,
2995000,3000000,54.5,2,2016-03-18,
15950000,16700000,280,9,2016-03-18,
6800000,8850000,132,5,2016-03-17,
9750000,9550000,181,7,2016-03-16,
2395000,2350000,58,2,2016-03-16,
2295000,2150000,42,2,2016-03-16,
4750000,4750000,85,4,2016-03-16,
4850000,6325000,NaN,NaN,2016-03-15,
1700000,1700000,18,1,2016-03-14,
2295000,2200000,54,2,2016-03-12,
10500000,13100000,195,7,2016-03-12,
13250000,12200000,196,6,2016-03-11,
2750000,3200000,74,3,2016-03-11,
6675000,8000000,132,5,2016-03-10,
9995000,11550000,207,6,2016-03-10,
2650000,3210000,78.1,3,2016-03-09,
2995000,3200000,78,4,2016-03-04,
3350000,3950000,78,3,2016-03-03,
3100000,3100000,60,2,2016-03-03,
2500000,2500000,48,2,2016-03-03,
1750000,1900000,26,1,2016-03-02,
2495000,2770000,60,2,2016-03-01,
3450000,3600000,63.9,3,2016-02-29,
3195000,3100000,79,3,2016-02-26,
2050000,2300000,39,1,2016-02-26,
6450000,8000000,155,7,2016-02-25,
3095000,3240000,71,3,2016-02-25,
3750000,4400000,81,3,2016-02-25,
4995000,5850000,91.5,4,2016-02-24,
2975000,4100000,69.5,3,2016-02-24,
1950000,1975000,31,2,2016-02-24,
1850000,2500000,62.9,2,2016-02-24,
2495000,2500000,48,1.5,2016-02-24,
1350000,1835000,33,1,2016-02-23,
1950000,2300000,37.5,1.5,2016-02-23,
2695000,3055000,60,2,2016-02-23,
5950000,6500000,112.5,4,2016-02-23,
2995000,3100000,52,2,2016-02-23,
1875000,2100000,33,1,2016-02-19,
10200000,11200000,158,7,2016-02-18,
1750000,1950000,26,1,2016-02-17,
3500000,3500000,70,4,2016-02-16,
5400000,5525000,103,4,2016-02-14,
2650000,2770000,69.5,3,2016-02-13,
2475000,2700000,60,2,2016-02-12,
1250000,1220000,16,1,2016-02-11,
1995000,2360000,37,1,2016-02-10,
2195000,2700000,49,2,2016-02-10,
2750000,2900000,78.1,3,2016-02-08,
2825000,2700000,69.5,3,2016-02-07,
11800000,14400000,176,7,2016-02-06,
2750000,3170000,49,2,2016-02-05,
1950000,2010000,39.5,1,2016-02-05,
2995000,3410000,74,3,2016-02-04,
10200000,10200000,171.5,6,2016-02-03,
2690000,2850000,62.9,2,2016-02-02,
2650000,2800000,59,2,2016-02-01,
2195000,2350000,42,2,2016-01-31,
1950000,1970000,44,1,2016-01-31,
7200000,7400000,137,4,2016-01-29,
1890000,2185000,30,1,2016-01-29,
5395000,5300000,120,4,2016-01-29,
995000,1555000,22,1,2016-01-28,
2495000,2800000,78.1,3,2016-01-28,
3295000,3150000,91.3,4,2016-01-28,
2495000,2495000,68,2,2016-01-28,
7200000,8500000,111,5,2016-01-28,
2795000,3150000,64.6,3,2016-01-27,
2350000,2500000,47,2,2016-01-27,
2995000,3070000,72,3,2016-01-27,
2595000,2595000,64,2,2016-01-26,
10850000,12000000,234,8,2016-01-26,
3400000,3400000,78,3,2016-01-26,
3575000,4200000,82,3,2016-01-26,
4495000,5000000,102,5,2016-01-25,
4650000,4800000,80,3,2016-01-23,
2850000,3150000,71,3,2016-01-23,
6950000,7250000,118,5,2016-01-23,
9250000,9250000,121,6,2016-01-23,
3050000,3100000,78.3,3,2016-01-22,
2475000,2800000,73.5,3,2016-01-21,
1750000,1920000,31.5,1,2016-01-21,
2495000,2750000,60,2,2016-01-21,
3950000,4125000,78.7,3,2016-01-21,
2650000,3050000,59.5,2,2016-01-21,
2500000,2500000,58,2,2016-01-21,
2195000,2300000,42,2,2016-01-20,
1975000,2500000,40.3,1,2016-01-20,
2795000,3225000,61,2,2016-01-20,
2495000,2550000,66,3,2016-01-20,
3495000,3600000,91,4,2016-01-19,
2295000,2475000,59,2,2016-01-19,
2925000,3200000,53,2,2016-01-18,
1875000,2050000,32,1,2016-01-18,
1750000,1820000,36,1,2016-01-15,
2795000,2700000,59,3,2016-01-15,
2700000,2835000,69.5,3,2016-01-15,
6150000,6150000,126,5,2016-01-15,
2950000,3350000,78.6,3,2016-01-15,
1750000,2300000,34.5,1,2016-01-14,
2795000,3150000,78.5,3,2016-01-14,
2590000,3000000,59,2,2016-01-14,
6495000,7120000,110.8,5,2016-01-14,
1895000,2200000,40.3,1,2016-01-13,
4295000,5250000,116,4,2016-01-13,
2350000,2550000,41,2,2016-01-11,
1295000,1650000,20,1,2016-01-09,
5750000,5900000,125,5,2016-01-08,
1975000,2550000,58.7,2,2016-01-07,
7500000,7900000,128.5,5,2015-12-22,
2750000,2950000,69.5,3,2015-12-21,
2850000,2925000,71,2,2015-12-14,
2795000,2990000,78.1,3,2015-12-12,
3350000,3875000,98,4,2015-12-11,
3175000,3500000,79,3,2015-12-11,
2400000,2785000,52,2,2015-12-10,
1990000,2485000,47,2,2015-12-08,
1775000,2310000,29,1,2015-12-08,
1895000,2230000,40.3,1,2015-12-08,
5450000,5500000,103,4,2015-12-07,
8200000,8800000,125,6,2015-12-06,
12000000,12000000,204,7,2015-12-06,
2895000,3000000,73,3,2015-12-05,
8000000,8350000,NaN,NaN,2015-12-05,
1995000,2400000,49,2,2015-12-04,
1695000,1695000,36,1,2015-12-04,
