AskedPrice,FinalPrice,Surface,Number_room,Year,Month,Day
4450000,5150000,173,7,2016,06,12
2250000,2210000,56.1,2,2016,05,31
2150000,2300000,68,2,2016,05,26
3450000,3900000,132,4,2016,05,21
1995000,2350000,41,2,2016,05,18
2650000,3270000,94.5,4,2016,05,13
2745000,3115000,82,3,2016,05,04
3650000,4725000,126,5,2016,04,29
4595000,5210000,140,6,2016,04,28
4390000,5410000,177,6,2016,04,27
2490000,3050000,89.5,3,2016,04,20
1690000,2150000,44,1,2016,04,19
2790000,3290000,94.5,4,2016,04,16
1895000,2630000,75,3,2016,04,14
1895000,2430000,41,2,2016,04,07
2650000,2800000,89.5,3,2016,04,01
2350000,2250000,74.4,3,2016,03,29
1790000,2130000,58,2,2016,03,23
2390000,2530000,80,3,2016,03,18
3250000,3955000,128,5,2016,03,17
2495000,2495000,70.7,3,2016,03,12
2200000,2220000,77,3,2016,03,11
1890000,2150000,60,2,2016,03,03
3950000,4430000,106,4,2016,02,25
1750000,2110000,62.6,2,2016,02,18
2300000,2300000,70.7,3,2016,02,11
3750000,4750000,130,4,2016,02,02
1695000,2140000,48,1.5,2016,01,21
1690000,1890000,36,1.5,2016,01,15
2095000,2320000,56.1,2,2016,01,05
4495000,5000000,123,5,2015,12,11
3750000,4700000,126,5,2015,12,08
1595000,2200000,39,1,2015,12,03
3475000,4400000,132,5,2015,12,02
4590000,5235000,161,7,2015,11,25
4150000,4500000,118,7,2015,11,25
3050000,4175000,106,4,2015,11,25
4690000,5175000,176,7,2015,11,20
3495000,3800000,123,7,2015,11,19
2250000,2590000,82,3,2015,11,13
1790000,2150000,57,2,2015,11,12
1995000,2300000,72.5,3,2015,11,10
2650000,2625000,80.6,4,2015,11,10
1595000,1900000,44,1,2015,11,05
2250000,2450000,80,3,2015,10,29
1995000,2670000,79,3,2015,10,27
2150000,2300000,80,3,2015,10,23
3650000,4400000,125,5,2015,10,19
1950000,2250000,51,2,2015,10,01
